GameID,Round,Winning_Team,W1Q,W2Q,W3Q,W4Q,Winning_Total,Winning_Margin,Losing_Team,L1Q,L2Q,L3Q,L4Q,Losing_Total,Losing_Margin
1,1,Carlton,13,6,3,0,22,8,Collingwood,6,7,0,1,14,-8
2,1,Melbourne,8,1,18,18,45,6,GWS,12,6,14,7,39,-6
3,1,Brisbane,8,1,15,7,31,12,Adelaide,0,19,0,0,19,-12
4,1,Western Bulldogs,20,14,2,13,49,26,Fremantle,0,0,21,2,23,-26
5,2,Carlton,4,9,12,5,30,21,GWS,6,0,2,1,9,-21
6,2,Melbourne,7,25,14,10,56,32,Adelaide,6,6,6,6,24,-32
7,2,Fremantle,18,7,8,7,40,13,Collingwood,12,0,7,8,27,-13
8,2,Bulldogs,1,25,0,7,33,9,Brisbane,2,1,7,14,24,-9
9,3,Adelaide,7,7,14,13,41,7,Western Bulldogs,13,6,14,1,34,-7
10,3,Brisbane,1,7,12,20,40,22,Carlton,0,2,7,9,18,-22
11,3,GWS,1,17,0,30,48,13,Collingwood,15,1,13,6,35,-13
12,3,Fremantle,0,12,12,12,36,5,Melbourne,11,0,19,1,31,-5
13,4,Western Bulldogs,10,34,13,29,86,73,Carlton,0,0,13,0,13,-73
14,4,Brisbane,0,7,7,8,22,7,Fremantle,1,1,7,6,15,-7
15,4,Collingwood,0,20,20,18,58,34,Melbourne,14,0,8,2,24,-34
17,5,Melbourne,15,3,10,6,34,6,Brisbane,0,7,7,14,28,-6
18,5,GWS,12,13,13,1,39,18,Fremantle,6,2,7,6,21,-18
19,5,Adelaide,14,25,0,16,55,35,Carlton,10,6,3,1,20,-35
20,5,Western Bulldogs,22,8,13,6,49,8,Collingwood,6,12,8,15,41,-8
21,6,Adelaide,18,6,7,9,40,4,Fremantle,8,8,14,6,36,-4
22,6,Collingwood,28,0,13,12,53,14,Brisbane,14,2,2,21,39,-14
23,6,GWS,8,20,0,18,46,18,Western Bulldogs,14,6,7,1,28,-18
24,6,Melbourne,39,8,3,7,57,35,Carlton,1,12,1,8,22,-35
25,7,Brisbane,38,7,7,12,64,40,GWS,7,2,14,1,24,-40
26,7,Fremantle,14,6,20,19,59,11,Carlton,12,11,14,11,48,-11
27,7,Western Bulldogs,0,20,0,13,33,2,Melbourne,7,6,12,6,31,-2
28,7,Collingwood,7,12,14,20,53,21,Adelaide,17,13,2,0,32,-21
29,GF,Western Bulldogs,1,0,19,7,27,6,Brisbane,7,0,0,14,21,6
